sample_id,donor,stimulation,stimulus_concentration_ng_ml,perturbagen,cytokine_concentration_ng_ml,protein,response_value
80,donor_1,LPS,2000,control,0,IL-12 p40,0.574218929
80,donor_1,LPS,2000,control,0,IL-6,1.05017996
80,donor_1,LPS,2000,control,0,MMP-1,0.303495646
80,donor_1,LPS,2000,control,0,TNF RII,0.10047242
80,donor_1,LPS,2000,control,0,TNF alpha,1.0628531
1802,donor_2,LPS,2000,IL-10,50,CCL1,-0.0728179216
1802,donor_2,LPS,2000,IL-10,50,CCL2,1.17216623
1802,donor_2,LPS,2000,IL-10,50,CCL22,-0.00628710631
1802,donor_2,LPS,2000,IL-10,50,CCL24,0.160126939
1802,donor_2,LPS,2000,IL-10,50,CCL5,0.573881865
1802,donor_2,LPS,2000,IL-10,50,CCL7,0.494794577
1802,donor_2,LPS,2000,IL-10,50,CCL8,0.139155507
1802,donor_2,LPS,2000,IL-10,50,CXCL1,0.717351258
1802,donor_2,LPS,2000,IL-10,50,CXCL10,-0.00383921736
1802,donor_2,LPS,2000,IL-10,50,CXCL16,0.705903232
1802,donor_2,LPS,2000,IL-10,50,G-CSF,-0.00578619819
1802,donor_2,LPS,2000,IL-10,50,GM-CSF,-0.0189532991
1802,donor_2,LPS,2000,IL-10,50,IFN gamma,-0.0280273762
1802,donor_2,LPS,2000,IL-10,50,IL-1 RA RN,0.707745492
1802,donor_2,LPS,2000,IL-10,50,IL-1 alpha,-0.0660907254
1802,donor_2,LPS,2000,IL-10,50,IL-1 beta,0.227521777
1802,donor_2,LPS,2000,IL-10,50,IL-12 p40,-0.0753524005
1802,donor_2,LPS,2000,IL-10,50,IL-6,0.818676293
1802,donor_2,LPS,2000,IL-10,50,MMP-1,0.508280933
1802,donor_2,LPS,2000,IL-10,50,TNF RII,0.465558022
1802,donor_2,LPS,2000,IL-10,50,TNF alpha,0.20009093
1564,donor_2,LPS,2000,control,0,CCL1,0.832215726
1564,donor_2,LPS,2000,control,0,CCL2,1.08151591
1564,donor_2,LPS,2000,control,0,CCL22,0.344532847
1564,donor_2,LPS,2000,control,0,CCL24,0.725273132
1564,donor_2,LPS,2000,control,0,CCL5,0.752790391
1564,donor_2,LPS,2000,control,0,CCL7,0.286311656
1564,donor_2,LPS,2000,control,0,CCL8,0.0293708108
1564,donor_2,LPS,2000,control,0,CXCL1,0.827676177
1564,donor_2,LPS,2000,control,0,CXCL10,0.0189512204
1564,donor_2,LPS,2000,control,0,CXCL16,0.447956711
1564,donor_2,LPS,2000,control,0,G-CSF,0.433492839
1564,donor_2,LPS,2000,control,0,GM-CSF,0.210314929
1564,donor_2,LPS,2000,control,0,IFN gamma,0.67036432
1564,donor_2,LPS,2000,control,0,IL-1 RA RN,0.451812148
1564,donor_2,LPS,2000,control,0,IL-1 alpha,0.731152713
1564,donor_2,LPS,2000,control,0,IL-1 beta,1.07537448
1564,donor_2,LPS,2000,control,0,IL-12 p40,0.62508738
1564,donor_2,LPS,2000,control,0,IL-6,1.13646388
1564,donor_2,LPS,2000,control,0,MMP-1,0.467181057
1564,donor_2,LPS,2000,control,0,TNF RII,0.224363402
1564,donor_2,LPS,2000,control,0,TNF alpha,1.06244159
1586,donor_2,LPS,2000,control,0,CCL1,0.810823023
1586,donor_2,LPS,2000,control,0,CCL2,1.10548425
1586,donor_2,LPS,2000,control,0,CCL22,0.326524854
1586,donor_2,LPS,2000,control,0,CCL24,0.60255146
